"source","annot","assertionType","evidenceType","createdOn","exactText","modality","statementType","drug1Lab","drug1Type","drug1Role","dose1","drug2Lab","drug2Type","drug2Role","dose2","numOfParticipants","auc"
"	http://dbmi-icode-01.dbmi.pitt.edu/DDI-labels/d89017aa-b8c3-4fd2-8e68-44e2cfd6f290.html","urn:domeoclient:uuid:FF092A73-4CB5-4EC5-B0F8-4864E9C6C0F1","drug-drug-interaction","evidence-supports","2015-06-24 14:57:30 -0400","In patients treated with potent inducers of CYP3A4 (i.e., phenytoin, carbamazepine, and rifampin), the clearance of ondansetron was significantly increased and ondansetron blood concentrations were decreased. However, on the basis of available data, no dosage adjustment for ondansetron is recommended for patients on these drugs","ncit:positive","ncit:Qualitative","phenytoin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"ondansetron","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:F83ED8E2-DBDD-4836-89C2-04B14261DF4F","increase-auc","evidence-supports","2015-06-19 12:00:00 -0400","Esomeprazole inhibits gastric acid secretion. Therefore, esomeprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, and erlotinib can decrease, while the absorption of drugs such as digoxin can increase during treatment with esomeprazole. Concomitant treatment with omeprazole (20 mg daily) and digoxin in healthy subjects increased the bioavailability of digoxin by 10% (30% in two subjects). Esomeprazole is an enantiomer of omeprazole. Coadministration of digoxin with esomeprazole is expected to increase the systemic exposure of digoxin. Therefore, patients may need to be monitored when digoxin is taken concomitantly with esomeprazole","ncit:positive","ncit:quantitative","digoxin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","Unk","Esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","0.02","Unk","10%"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:EE4C46FB-BA4B-4B64-A98A-CC94C90D600B","drug-drug-interaction","evidence-supports","2015-06-19 11:58:25 -0400","Esomeprazole inhibits gastric acid secretion. Therefore, esomeprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, and erlotinib can decrease, while the absorption of drugs such as digoxin can increase during treatment with esomeprazole. Concomitant treatment with omeprazole (20 mg daily) and digoxin in healthy subjects increased the bioavailability of digoxin by 10% (30% in two subjects). Esomeprazole is an enantiomer of omeprazole. Coadministration of digoxin with esomeprazole is expected to increase the systemic exposure of digoxin. Therefore, patients may need to be monitored when digoxin is taken concomitantly with esomeprazole","ncit:positive","ncit:Qualitative","esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"iron salts","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:EDC97344-95CC-41C6-9D02-B413ECCEF2DA","drug-drug-interaction","evidence-supports","2015-06-19 11:58:06 -0400","Esomeprazole inhibits gastric acid secretion. Therefore, esomeprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, and erlotinib can decrease, while the absorption of drugs such as digoxin can increase during treatment with esomeprazole. Concomitant treatment with omeprazole (20 mg daily) and digoxin in healthy subjects increased the bioavailability of digoxin by 10% (30% in two subjects). Esomeprazole is an enantiomer of omeprazole. Coadministration of digoxin with esomeprazole is expected to increase the systemic exposure of digoxin. Therefore, patients may need to be monitored when digoxin is taken concomitantly with esomeprazole","ncit:positive","ncit:Qualitative","ketoconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:E7AC5B35-8CF6-4D77-AB8B-38C121499BC7","drug-drug-interaction","evidence-supports","2015-06-19 11:54:10 -0400","Omeprazole has been reported to interact with some antiretroviral drugs. The clinical importance and the mechanisms behind these interactions are not always known. Increased gastric pH during omeprazole treatment may change the absorption of the antiretroviral drug. Other possible interaction mechanisms are via CYP2C19. For some antiretroviral drugs, such as atazanavir and nelfinavir, decreased serum levels have been reported when given together with omeprazole. Following multiple doses of nelfinavir (1250 mg, twice daily) and omeprazole (40 mg daily), AUC was decreased by 36% and 92%, Cmax by 37% and 89% and Cmin by 39% and 75%, respectively, for nelfinavir and M8. Following multiple doses of atazanavir (400 mg daily) and omeprazole (40 mg daily, 2 hr before atazanavir), AUC was decreased by 94%, Cmax by 96%, and Cmin by 95%. Concomitant administration with omeprazole and drugs such as atazanavir and nelfinavir is therefore not recommended. For other antiretroviral drugs, such as saquinavir, elevated serum levels have been reported with an increase in AUC by 82%, in Cmax by 75% and in Cmin by 106% following multiple dosing of saquinavir/ritonavir (1,000 mg/100 mg) twice daily for 15 days with omeprazole 40 mg daily coadministered days 11 to 15. Dose reduction of saquinavir should be considered from the safety perspective for individual patients. There are also some antiretroviral drugs of which unchanged serum levels have been reported when given with omeprazole.","ncit:positive","ncit:Qualitative","atazanavir","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"omeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:DFED9A23-523F-47EA-B795-5F98D263A8DF","drug-drug-interaction","evidence-supports","2015-06-18 15:52:22 -0400","7.1 Drugs Metabolized by CYP450\nRabeprazole is metabolized by the cytochrome P450 (CYP450) drug metabolizing enzyme system. Studies in healthy subjects have shown that rabeprazole does not have clinically significant interactions with other drugs metabolized by the CYP450 system, such as warfarin and theophylline given as single oral doses, diazepam as a single intravenous dose, and phenytoin given as a single intravenous dose (with supplemental oral dosing). Steady state interactions of rabeprazole and other drugs metabolized by this enzyme system have not been studied in patients","ncit:negative","ncit:Qualitative","diazepam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"	http://dbmi-icode-01.dbmi.pitt.edu/DDI-labels/d89017aa-b8c3-4fd2-8e68-44e2cfd6f290.html","urn:domeoclient:uuid:DEDED152-7DA5-4390-94BF-3DC9A8BDD06E","drug-drug-interaction","evidence-supports","2015-06-24 14:57:58 -0400","In patients treated with potent inducers of CYP3A4 (i.e., phenytoin, carbamazepine, and rifampin), the clearance of ondansetron was significantly increased and ondansetron blood concentrations were decreased. However, on the basis of available data, no dosage adjustment for ondansetron is recommended for patients on these drugs","ncit:positive","ncit:Qualitative","rifampin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"ondansetron","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:DE89DB10-B27A-4098-AA8D-85A540932FB9","drug-drug-interaction","evidence-supports","2015-06-19 10:54:20 -0400","In vitro and in vivo studies have shown that esomeprazole is not likely to inhibit CYPs 1A2, 2A6, 2C9, 2D6, 2E1 and 3A4. No clinically relevant interactions with drugs metabolized by these CYP enzymes would be expected. Drug interaction studies have shown that esomeprazole does not have any clinically significant interactions with phenytoin, warfarin, quinidine, clarithromycin or amoxicillin. Postmarketing reports of changes in prothrombin measures have been received among patients on concomitant warfarin and esomeprazole therapy. Increases in INR and prothrombin time may lead to abnormal bleeding and even death. Patients treated with proton pump inhibitors and warfarin concomitantly may need to be monitored for increases in INR and prothrombin time","ncit:negative","ncit:Qualitative","clarithromycin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"	http://dbmi-icode-01.dbmi.pitt.edu/DDI-labels/d89017aa-b8c3-4fd2-8e68-44e2cfd6f290.html","urn:domeoclient:uuid:DC11B470-143A-4770-8C76-995B4962D19D","drug-drug-interaction","evidence-supports","2015-06-24 15:01:32 -0400","In a crossover study in 76 pediatric patients, intravenous ondansetron did not increase blood levels of high-dose methotrexate.","ncit:negative","ncit:Qualitative","methotrexate","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"ondansetron","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:D909DA64-14F1-4718-9FA6-CC479090962F","drug-drug-interaction","evidence-supports","2015-06-18 15:52:36 -0400","7.1 Drugs Metabolized by CYP450\nRabeprazole is metabolized by the cytochrome P450 (CYP450) drug metabolizing enzyme system. Studies in healthy subjects have shown that rabeprazole does not have clinically significant interactions with other drugs metabolized by the CYP450 system, such as warfarin and theophylline given as single oral doses, diazepam as a single intravenous dose, and phenytoin given as a single intravenous dose (with supplemental oral dosing). Steady state interactions of rabeprazole and other drugs metabolized by this enzyme system have not been studied in patients","ncit:negative","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"phenytoin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:D8F9EC0A-92FE-4D04-83D2-B6BC458830E1","drug-drug-interaction","evidence-supports","2015-06-18 15:56:19 -0400","7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX.","ncit:positive","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"iron salts","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:D340B61F-D0A0-4F8D-A948-DBB014DBAAC5","drug-drug-interaction","evidence-supports","2015-06-19 12:01:02 -0400","Concomitant Use with Clopidogrel \nResults from a crossover study in healthy subjects have shown a pharmacokinetic interaction between clopidogrel (300 mg loading dose/75 mg daily maintenance dose) and esomeprazole (40 mg p.o. once daily) when co-administered for 30 days. Exposure to the active metabolite of clopidogrel was reduced by 35% to 40% over this time period. Pharmacodynamic parameters were also measured and demonstrated that the change in inhibition of platelet aggregation was related to the change in the exposure to clopidogrel active metabolite","ncit:positive","ncit:Qualitative","esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"Clopidogrel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:D0684FBC-AA59-4E77-8084-24E821D53ACD","increase-auc","evidence-supports","2015-06-26 14:32:35 -0400","Concomitant Use with Clopidogrel: Clopidogrel is metabolized to its active metabolite in part by CYP2C19. A study of healthy subjects, including CYP2C19 extensive and intermediate metabolizers receiving once daily administration of clopidogrel 75 mg concomitantly with placebo or with ACIPHEX 20 mg (n=36), for 7 days was conducted. The mean AUC of the active metabolite of clopidogrel was reduced by approximately 12% (mean AUC ratio was 88%, with 90% CI of 81.7 to 95.5%) when ACIPHEX was coadministered compared to administration of clopidogrel with placebo.","ncit:positive","ncit:quantitative","Clopidogrel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","0.075","ACIPHEX","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction","0.02","Unk","-12%"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:CDE2F1A4-BC4C-4325-A9D0-F4A22851876B","drug-drug-interaction","evidence-supports","2015-06-18 15:51:49 -0400","7.1 Drugs Metabolized by CYP450\nRabeprazole is metabolized by the cytochrome P450 (CYP450) drug metabolizing enzyme system. Studies in healthy subjects have shown that rabeprazole does not have clinically significant interactions with other drugs metabolized by the CYP450 system, such as warfarin and theophylline given as single oral doses, diazepam as a single intravenous dose, and phenytoin given as a single intravenous dose (with supplemental oral dosing). Steady state interactions of rabeprazole and other drugs metabolized by this enzyme system have not been studied in patients.","ncit:negative","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"theophylline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"	http://dbmi-icode-01.dbmi.pitt.edu/DDI-labels/d89017aa-b8c3-4fd2-8e68-44e2cfd6f290.html","urn:domeoclient:uuid:C83167C4-C89B-48D3-B42A-57F073AF5BCA","drug-drug-interaction","evidence-supports","2015-06-24 14:58:34 -0400","Although there are no data on pharmacokinetic drug interactions between ondansetron and tramadol, data from two small studies indicate that concomitant use of ondansetron may result in reduced analgesic activity of tramadol. Patients on concomitant ondansetron self administered tramadol more frequently in these studies, leading to an increased cumulative dose in patient controlled administration (PCA) of tramadol.","ncit:positive","ncit:Qualitative","tramadol","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"ondansetron","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:C7732FF4-4B1E-4EED-82DB-ECD7D976EF7A","drug-drug-interaction","evidence-supports","2015-06-18 15:55:53 -0400","7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX.","ncit:positive","ncit:Qualitative","mycophenolate mofetil","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/069d7015-a2e4-4dbb-8255-2172e22a6300.html","urn:domeoclient:uuid:C3D19AA2-CA54-465B-9900-48FAB77D377A","drug-drug-interaction","evidence-supports","2015-06-19 10:57:51 -0400","Clopidogrel \nClopidogrel is metabolized to its active metabolite in part by CYP2C19. Concomitant use of esomeprazole 40 mg results in reduced plasma concentrations of the active metabolite of clopidogrel and a reduction in platelet inhibition. Avoid concomitant administration of esomeprazole sodium with clopidogrel. When using esomeprazole sodium, consider use of alternative anti-platelet","ncit:positive","ncit:Qualitative","clopidogrel","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"esomeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:C3C51332-1F4B-428E-8EBA-57EC2E79E7B7","increase-auc","evidence-supports","2015-06-18 15:54:14 -0400","7.3 Cyclosporine\nIn vitro incubations employing human liver microsomes indicated that rabeprazole inhibited cyclosporine metabolism with an IC50 of 62 micromolar, a concentration that is over 50 times higher than the Cmax in healthy volunteers following 14 days of dosing with 20 mg of rabeprazole. This degree of inhibition is similar to that by omeprazole at equivalent concentrations.","ncit:positive","ncit:quantitative","cyclosporine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","Unk","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","0.02","Unk","Unk"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5d103551-978f-472a-9c62-51e6e4dea068.html","urn:domeoclient:uuid:BD03B2D0-4DE0-4E44-9EDC-2E2F30367528","drug-drug-interaction","evidence-supports","2015-06-18 16:03:40 -0400","7.6 Combined Administration with Clarithromycin\nCombined administration consisting of rabeprazole, amoxicillin, and clarithromycin resulted in increases in plasma concentrations of rabeprazole and 14-hydroxyclarithromycin [see Clinical Pharmacology (12.3)].","ncit:positive","ncit:Qualitative","rabeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction",,"clarithromycin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,
